ID,RANK,SEX,LENGTH,WEIGHT,GROUP,INFORMANT,TREATMENT,TIMEPOINT,ORIENT,MOVE,TOTAL,PERCENT,LEARNED,LEARN.RATE,DLG,DLV,DM1,DM3,VS,APPROACHES,APPROACH.AVG,APPROACH.DIFF,DISPLACEMENTS,DISPLACE.AVG,DISPLACE.DIFF,AGGEFF.TRIAL,AGGEFF.CUMUL,LINECROSS,LINECROSS.NORM,LINECROSS.NORM.LAST.4.AVG,LINECROSS.NORM.AVG
53,sub,male,45,2.7,dom7,DOM,DEMONSTRATOR,22,5,5,8,100,YES,early,0.026649884,0.01504806,0.004264301,0.009967454,0.010141307,14,19.45454545,-8,14,17,-5,1,0.873831776,130,16.25,10.125,10.325
54,fem,female,47.5,2.75,dom7,DOM,DEMONSTRATOR,22,5,5,8,100,YES,early,0.013835156,0.0149374,0.00735577,0.005444984,0.022863455,14,19.45454545,-8,14,17,-5,1,0.873831776,130,16.25,10.125,10.325
58,dom,male,49,3.29,dom8,DOM,DEMONSTRATOR,22,5,3,5,71,YES,late,0.02418043,0.013223752,0.00593632,0.006541126,0.021172062,4,12.36363636,2,4,10.5,2,1,0.849264706,118,14.75,16.75,9.425
59,sub,male,49,3.12,dom8,DOM,DEMONSTRATOR,22,5,3,5,71,YES,late,0.021013967,0.01394322,0.00609115,0.010577701,0.031157894,4,12.36363636,2,4,10.5,2,1,0.849264706,118,14.75,16.75,9.425
60,fem,female,41.5,1.92,dom8,DOM,DEMONSTRATOR,22,5,3,5,71,YES,late,0.02122048,0.01323303,0.00715722,0.007810275,0.020024177,4,12.36363636,2,4,10.5,2,1,0.849264706,118,14.75,16.75,9.425
61,dom,male,48.5,3.21,dom9,DOM,DEMONSTRATOR,22,7,3,7,100,YES,early,0.0228462,0.0158694,0.00694854,0.00905743,0.00993687,18,20.77272727,-3,15,18.18181818,-5,0.833333333,0.875273523,139,17.375,11.4375,9.8125
62,sub,male,44,2.58,dom9,DOM,DEMONSTRATOR,22,7,3,7,100,YES,early,0.02531932,0.0119361,0.00451088,0.01032862,0.021783161,18,20.77272727,-3,15,18.18181818,-5,0.833333333,0.875273523,139,17.375,11.4375,9.8125
63,fem,female,42.5,2.24,dom9,DOM,DEMONSTRATOR,22,7,3,7,100,YES,early,0.027048533,0.008521968,0.003224581,0.00981135,0.021429039,18,20.77272727,-3,15,18.18181818,-5,0.833333333,0.875273523,139,17.375,11.4375,9.8125
42,dom,male,60,6.09,sub5,SUB,DEMONSTRATOR,22,2,1,2,29,NO,not,0.0156382,0.00983511,0.00453983,0.009956011,0.02183653,0,7.045454545,-21,0,4.363636364,-9,0,0.619354839,150,18.75,18.0625,10.875
43,sub,male,54,4.12,sub5,SUB,DEMONSTRATOR,22,2,1,2,29,NO,not,0.01439665,0.0089476,0.01002143,0.00962823,0.022936513,0,7.045454545,-21,0,4.363636364,-9,0,0.619354839,150,18.75,18.0625,10.875
44,fem,female,41,1.84,sub5,SUB,DEMONSTRATOR,22,2,1,2,29,NO,not,0.013422997,0.009254887,0.004591273,0.002577419,0.02581875,0,7.045454545,-21,0,4.363636364,-9,0,0.619354839,150,18.75,18.0625,10.875
45,dom,male,58,5.81,sub6,SUB,DEMONSTRATOR,22,5,5,8,100,YES,early,0.018065194,0.01555263,0.020642231,0.014292598,0.045244487,0,4.772727273,-7,0,2.681818182,-2,0,0.561904762,162,20.25,12.34375,12.8875
46,sub,male,56.5,5.33,sub6,SUB,DEMONSTRATOR,22,5,5,8,100,YES,early,0.02192933,0.009935662,0.01048323,0.0135244,0.025779983,0,4.772727273,-7,0,2.681818182,-2,0,0.561904762,162,20.25,12.34375,12.8875
47,fem,female,38.5,1.52,sub6,SUB,DEMONSTRATOR,22,5,5,8,100,YES,early,0.02957473,0.01023,0.008831127,0.012209643,0.02632837,0,4.772727273,-7,0,2.681818182,-2,0,0.561904762,162,20.25,12.34375,12.8875
64,dom,male,57,5.02,sub8,SUB,DEMONSTRATOR,22,4,3,5,71,YES,late,0.018906044,0.008986529,0.0073263,0.012142393,0.007937788,22,17.68181818,22,11,13.95454545,11,0.5,0.789203085,148,18.5,15.8125,9.6
65,sub,male,54,4.81,sub8,SUB,DEMONSTRATOR,22,4,3,5,71,YES,late,0.016079289,0.006297369,0.008326172,0.013449674,0.0223401,22,17.68181818,22,11,13.95454545,11,0.5,0.789203085,148,18.5,15.8125,9.6
66,fem,female,41.5,2.07,sub8,SUB,DEMONSTRATOR,22,4,3,5,71,YES,late,0.022945731,0.00109384,0.006172621,0.011404189,0.0282339,22,17.68181818,22,11,13.95454545,11,0.5,0.789203085,148,18.5,15.8125,9.6
92,dom,male,54,4.07,sub12,SUB,DEMONSTRATOR,22,4,2,6,86,YES,late,0.025363376,0.0070983,0.00816289,0.00976184,0.029624735,8,3.176470588,8,6,2.176470588,6,0.75,0.685185185,131,16.375,16.625,13.5
93,sub,male,50,2.88,sub12,SUB,DEMONSTRATOR,22,4,2,6,86,YES,late,0.01745438,0.012737754,0.0109732,0.005310848,0.035539732,8,3.176470588,8,6,2.176470588,6,0.75,0.685185185,131,16.375,16.625,13.5
94,sub,male,53,3.86,sub12,SUB,DEMONSTRATOR,22,4,2,6,86,YES,late,0.023332018,0.012984,0.006032165,0.011435837,0.026374505,8,3.176470588,8,6,2.176470588,6,0.75,0.685185185,131,16.375,16.625,13.5
