GROUP,INFORMANT,TREATMENT,CONTEXT,LEARN.RATE,TIMEPOINT,TRIAL,ORIENT,MOVE,SOCIAL,TOTAL,PROPORTION,PERCENT,APPROACHES,APPROACH.AVG,APPROACH.DIFF,DISPLACEMENTS,DISPLACE.AVG,DISPLACE.DIFF,AGGEFF.TRIAL,AGGEFF.TOTAL,AGGEFF.CUMUL,APPROACHED,DISPLACED,LINECROSS,LINECROSS.NORM,LINECROSS.NORM.LAST.4.AVG,LINECROSS.NORM.AVG
dom5,dom,social,group,not,twentytwo,16,1,2,0,2,0.29,29,14,,,11,,,0.785714286,0.81377551,,,,110,13.75,,
dom5,dom,social,group,not,twentytwo,17,2,5,0,5,0.71,71,18,,,12,,,0.666666667,0.81377551,,,,113,14.125,,
dom5,dom,social,group,not,twentytwo,18,3,2,1,3,0.43,43,15,,,15,,,1,0.81377551,,,,104,13,,
dom5,dom,social,group,not,twentytwo,19,2,2,1,3,0.43,43,10,,,9,,,0.9,0.81377551,,,,116,14.5,,
dom5,dom,social,group,not,twentytwo,20,2,1,0,1,0.14,14,11,,,9,,,0.818181818,0.81377551,,,,123,15.375,,
dom5,dom,social,group,not,twentytwo,21,1,5,0,5,0.71,71,10,,,7,,,0.7,0.81377551,,,,117,14.625,,
dom5,dom,social,group,not,twentytwo,22,2,1,0,1,0.14,14,14,,,13,,,0.928571429,0.81377551,,,,125,15.625,15.03125,8.5625
dom7,dom,social,group,early,twentytwo,1,2,1,0,1,0.14,14,22,19.45454545,-8,19,17,-5,0.863636364,0.873831776,0.873831776,,,72,9,,
dom7,dom,social,group,early,twentytwo,2,4,3,1,4,0.57,57,20,,,20,,,1,0.873831776,,,,67,8.375,,
dom7,dom,social,group,early,twentytwo,3,2,1,1,2,0.29,29,4,,,4,,,1,0.873831776,,,,75,9.375,,
dom7,dom,social,group,early,twentytwo,4,2,1,1,2,0.29,29,17,,,15,,,0.882352941,0.873831776,,,,73,9.125,,
dom7,dom,social,group,early,twentytwo,5,2,2,2,4,0.57,57,12,,,9,,,0.75,0.873831776,,,,89,11.125,,
dom7,dom,social,group,early,twentytwo,6,4,3,1,4,0.57,57,5,,,4,,,0.8,0.873831776,,,,79,9.875,,
dom7,dom,social,group,early,twentytwo,7,4,4,2,6,0.86,86,24,,,23,,,0.958333333,0.873831776,,,,83,10.375,10.125,
dom7,dom,social,group,early,twentytwo,8,2,2,4,6,0.86,86,17,,,16,,,0.941176471,0.873831776,,,,92,11.5,,
dom7,dom,social,group,early,twentytwo,9,3,4,1,5,0.71,71,16,,,15,,,0.9375,0.873831776,,,,88,11,,
dom7,dom,social,group,early,twentytwo,10,4,3,4,7,1,100,14,,,12,,,0.857142857,0.873831776,,,,108,13.5,,
dom7,dom,social,group,early,twentytwo,11,3,4,2,6,0.86,86,20,,,15,,,0.75,0.873831776,,,,101,12.625,,
dom7,dom,social,group,early,twentytwo,12,3,5,2,7,1,100,23,,,17,,,0.739130435,0.873831776,,,,127,15.875,,
dom7,dom,social,group,early,twentytwo,13,3,2,2,4,0.57,57,25,,,18,,,0.72,0.873831776,,,,130,16.25,,
dom7,dom,social,group,early,twentytwo,14,7,3,5,8,1,100,23,,,19,,,0.826086957,0.873831776,,,,124,15.5,,
dom7,dom,social,group,early,twentytwo,15,3,4,4,8,1,100,27,,,23,,,0.851851852,0.873831776,,,,118,14.75,,
dom7,dom,social,group,early,twentytwo,16,3,3,3,6,0.86,86,21,,,19,,,0.904761905,0.873831776,,,,125,15.625,,
dom7,dom,social,group,early,twentytwo,17,4,2,4,6,0.86,86,33,,,32,,,0.96969697,0.873831776,,,,131,16.375,,
dom7,dom,social,group,early,twentytwo,18,5,3,5,8,1,100,25,,,19,,,0.76,0.873831776,,,,128,16,,
dom7,dom,social,group,early,twentytwo,19,5,4,3,7,1,100,26,,,23,,,0.884615385,0.873831776,,,,136,17,,
dom7,dom,social,group,early,twentytwo,20,4,2,5,7,1,100,18,,,17,,,0.944444444,0.873831776,,,,123,15.375,,
dom7,dom,social,group,early,twentytwo,21,6,5,3,8,1,100,22,,,21,,,0.954545455,0.873831776,,,,110,13.75,,
dom7,dom,social,group,early,twentytwo,22,5,5,3,8,1,100,14,,,14,,,1,0.873831776,,,,130,16.25,,10.325
dom8,dom,social,group,late,twentytwo,1,1,1,0,1,0.14,14,2,12.36363636,2,2,10.5,2,1,0.849264706,0.849264706,,,68,8.5,,
dom8,dom,social,group,late,twentytwo,2,3,0,0,0,0,0,15,,,15,,,1,0.849264706,,,,75,9.375,,
dom8,dom,social,group,late,twentytwo,3,2,1,0,1,0.14,14,17,,,15,,,0.882352941,0.849264706,,,,63,7.875,,
dom8,dom,social,group,late,twentytwo,4,1,0,0,0,0,0,11,,,10,,,0.909090909,0.849264706,,,,69,8.625,,
dom8,dom,social,group,late,twentytwo,5,0,0,0,0,0,0,1,,,1,,,1,0.849264706,,,,71,8.875,,
dom8,dom,social,group,late,twentytwo,6,0,0,0,0,0,0,18,,,16,,,0.888888889,0.849264706,,,,79,9.875,,
dom8,dom,social,group,late,twentytwo,7,3,0,0,0,0,0,4,,,4,,,1,0.849264706,,,,78,9.75,,
dom8,dom,social,group,late,twentytwo,8,1,1,0,1,0.14,14,20,,,18,,,0.9,0.849264706,,,,84,10.5,,
dom8,dom,social,group,late,twentytwo,9,4,0,0,0,0,0,2,,,2,,,1,0.849264706,,,,79,9.875,,
dom8,dom,social,group,late,twentytwo,10,4,0,0,0,0,0,8,,,8,,,1,0.849264706,,,,88,11,,
dom8,dom,social,group,late,twentytwo,11,2,1,3,4,0.57,57,3,,,3,,,1,0.849264706,,,,105,13.125,,
dom8,dom,social,group,late,twentytwo,12,3,2,3,5,0.71,71,11,,,11,,,1,0.849264706,,,,115,14.375,,
dom8,dom,social,group,late,twentytwo,13,2,1,0,1,0.14,14,15,,,14,,,0.933333333,0.849264706,,,,109,13.625,,
dom8,dom,social,group,late,twentytwo,14,4,0,0,0,0,0,29,,,23,,,0.793103448,0.849264706,,,,127,15.875,,
dom8,dom,social,group,late,twentytwo,15,4,4,0,4,0.57,57,18,,,11,,,0.611111111,0.849264706,,,,130,16.25,,
dom8,dom,social,group,late,twentytwo,16,2,4,0,4,0.57,57,18,,,14,,,0.777777778,0.849264706,,,,125,15.625,,
dom8,dom,social,group,late,twentytwo,17,2,0,0,0,0,0,18,,,14,,,0.777777778,0.849264706,,,,133,16.625,,
dom8,dom,social,group,late,twentytwo,18,4,2,0,2,0.29,29,16,,,12,,,0.75,0.849264706,,,,127,15.875,,
dom8,dom,social,group,late,twentytwo,19,3,3,2,5,0.71,71,16,,,11,,,0.6875,0.849264706,,,,138,17.25,,
dom8,dom,social,group,late,twentytwo,20,4,2,2,4,0.57,57,16,,,15,,,0.9375,0.849264706,,,,145,18.125,,
dom8,dom,social,group,late,twentytwo,21,4,4,2,6,0.86,86,10,,,8,,,0.8,0.849264706,,,,126,15.75,16.75,
dom8,dom,social,group,late,twentytwo,22,5,3,2,5,0.71,71,4,,,4,,,1,0.849264706,,,,118,14.75,,9.425
dom9,dom,social,group,early,twentytwo,1,1,1,0,1,0.14,14,21,20.77272727,-3,20,18.18181818,-5,0.952380952,0.875273523,0.875273523,,,47,5.875,,
dom9,dom,social,group,early,twentytwo,2,1,1,0,1,0.14,14,26,,,22,,,0.846153846,0.875273523,,,,56,7,,
dom9,dom,social,group,early,twentytwo,3,1,1,0,1,0.14,14,0,,,0,,,0,0.875273523,,,,88,11,,
dom9,dom,social,group,early,twentytwo,4,1,1,0,1,0.14,14,0,,,0,,,0,0.875273523,,,,73,9.125,,
dom9,dom,social,group,early,twentytwo,5,1,1,0,1,0.14,14,4,,,3,,,0.75,0.875273523,,,,78,9.75,,
dom9,dom,social,group,early,twentytwo,6,1,1,0,1,0.14,14,25,,,20,,,0.8,0.875273523,,,,77,9.625,,
dom9,dom,social,group,early,twentytwo,7,3,1,0,1,0.14,14,29,,,23,,,0.793103448,0.875273523,,,,83,10.375,,
dom9,dom,social,group,early,twentytwo,8,6,1,0,1,0.14,14,31,,,26,,,0.838709677,0.875273523,,,,90,11.25,,
dom9,dom,social,group,early,twentytwo,9,7,1,2,3,0.43,43,14,,,11,,,0.785714286,0.875273523,,,,94,11.75,,
dom9,dom,social,group,early,twentytwo,10,7,4,3,7,1,100,28,,,26,,,0.928571429,0.875273523,,,,99,12.375,11.4375,
dom9,dom,social,group,early,twentytwo,11,5,3,3,6,0.86,86,32,,,30,,,0.9375,0.875273523,,,,101,12.625,,
dom9,dom,social,group,early,twentytwo,12,8,3,2,5,0.71,71,23,,,23,,,1,0.875273523,,,,127,15.875,,
dom9,dom,social,group,early,twentytwo,13,6,4,2,6,0.86,86,16,,,16,,,1,0.875273523,,,,130,16.25,,
dom9,dom,social,group,early,twentytwo,14,6,3,3,6,0.86,86,30,,,25,,,0.833333333,0.875273523,,,,124,15.5,,
dom9,dom,social,group,early,twentytwo,15,5,4,2,6,0.86,86,33,,,29,,,0.878787879,0.875273523,,,,130,16.25,,
dom9,dom,social,group,early,twentytwo,16,4,3,3,6,0.86,86,28,,,22,,,0.785714286,0.875273523,,,,135,16.875,,
dom9,dom,social,group,early,twentytwo,17,4,5,2,7,1,100,15,,,13,,,0.866666667,0.875273523,,,,110,13.75,,
dom9,dom,social,group,early,twentytwo,18,6,6,1,7,1,100,25,,,24,,,0.96,0.875273523,,,,123,15.375,,
dom9,dom,social,group,early,twentytwo,19,5,3,2,5,0.71,71,21,,,21,,,1,0.875273523,,,,141,17.625,,
dom9,dom,social,group,early,twentytwo,20,5,5,2,7,1,100,29,,,23,,,0.793103448,0.875273523,,,,138,17.25,,
